tempo (s),entrada (V),saida (V)
14.50438141822815,0.5,1.13
14.606700658798218,0.5,1.13
14.708975315093994,0.5,1.12
14.807401418685913,0.5,1.12
14.909714221954346,0.5,1.12
15.01214861869812,0.5,1.12
15.110483884811401,0.5,1.12
15.212846994400024,0.5,1.16
15.315216541290283,0.5,1.15
15.413556337356567,0.5,1.14
15.515948057174683,0.5,1.13
15.618348598480225,0.5,1.13
15.716712713241577,0.5,1.13
15.819010972976685,0.5,1.12
15.921327829360962,0.5,1.13
16.019739151000977,0.5,1.12
16.122077703475952,0.5,1.16
16.220460653305054,0.5,1.15
16.32285189628601,0.5,1.14
16.42519760131836,0.5,1.14
16.5236074924469,0.5,1.13
16.625996828079224,0.5,1.13
16.728233814239502,0.5,1.12
16.82662034034729,0.5,1.13
16.92898941040039,0.5,1.13
17.031388998031616,0.5,1.16
17.12971830368042,0.5,1.15
17.232186794281006,0.5,1.14
17.33456802368164,0.5,1.14
17.43291974067688,0.5,1.13
17.53526020050049,0.5,1.13
17.637523651123047,0.5,1.12
17.73589038848877,0.5,1.13
17.83829379081726,0.5,1.13
17.94055938720703,0.5,1.15
18.038989543914795,0.5,1.15
18.141326665878296,0.5,1.14
18.243754148483276,0.5,1.13
18.342156171798706,0.5,1.13
18.444451093673706,0.5,1.13
18.54676914215088,0.5,1.12
18.64531922340393,0.5,1.13
18.747536659240723,0.5,1.13
18.849926710128784,0.5,1.15
18.948260068893433,0.5,1.14
19.050647258758545,0.5,1.14
19.15293788909912,0.5,1.13
19.251453638076782,0.5,1.13
19.35370922088623,0.5,1.13
19.45605492591858,0.5,1.12
19.55445408821106,0.5,1.14
19.65679383277893,0.5,1.13
19.75914216041565,0.5,1.15
19.85755205154419,1.0,1.14
19.95987892150879,1.0,1.13
20.062255859375,1.0,1.13
20.160730361938477,1.0,1.12
20.263036489486694,1.0,1.13
20.365369081497192,1.0,1.12
20.46380066871643,1.0,1.16
20.56617760658264,1.0,1.16
20.66845726966858,1.0,1.19
20.766891479492188,1.0,1.18
20.869266986846924,1.0,1.16
20.97161865234375,1.0,1.16
21.069795608520508,1.0,1.15
21.172243356704712,1.0,1.15
21.27461838722229,1.0,1.14
21.37295913696289,1.0,1.18
21.475378274917603,1.0,1.17
21.577728748321533,1.0,1.2
21.676071882247925,1.0,1.19
21.778454542160034,1.0,1.18
21.880771160125732,1.0,1.17
21.97910475730896,1.0,1.16
22.0815372467041,1.0,1.17
22.17987561225891,1.0,1.16
22.28232479095459,1.0,1.19
22.38461685180664,1.0,1.18
22.48306155204773,1.0,1.2
22.585352897644043,1.0,1.19
22.68771767616272,1.0,1.18
22.786057233810425,1.0,1.17
22.888518810272217,1.0,1.16
22.990929126739502,1.0,1.17
23.08916735649109,1.0,1.16
23.191553354263306,1.0,1.19
23.293846368789673,1.0,1.18
23.392250299453735,1.0,1.2
23.49459958076477,1.0,1.19
23.59701418876648,1.0,1.18
23.695430755615234,1.0,1.17
23.797732830047607,1.0,1.16
23.90004801750183,1.0,1.17
23.998408555984497,1.0,1.16
24.10078477859497,1.0,1.2
24.203089237213135,1.0,1.19
24.30150556564331,1.0,1.19
24.403944730758667,1.0,1.18
24.50620174407959,1.0,1.17
24.604632139205933,1.0,1.16
24.70705795288086,1.0,1.16
24.809303283691406,1.0,1.17
24.9077205657959,1.0,1.16
25.01004958152771,1.0,1.2
25.112411737442017,1.0,1.19
25.21076464653015,1.0,1.17
25.31311869621277,1.0,1.16
25.415485382080078,1.0,1.15
25.513852834701538,1.0,1.15
25.616209506988525,1.0,1.15
25.718555688858032,1.0,1.18
25.81688404083252,1.0,1.17
25.919267654418945,1.0,1.2
26.021623849868774,1.0,1.19
26.120036363601685,1.0,1.17
26.222398042678833,1.0,1.16
26.324734449386597,1.0,1.16
26.423226356506348,1.0,1.16
26.52552342414856,1.0,1.15
26.627825498580933,1.0,1.19
26.72618269920349,1.0,1.18
26.82856845855713,1.0,1.2
26.93097162246704,1.0,1.19
27.029279708862305,1.0,1.18
27.13167119026184,1.0,1.17
27.234021186828613,1.0,1.16
27.33245849609375,1.0,1.17
